name,type,nanoV12,miniAOD,nanoV9,xs_framework,xs_framework_aux,xs_xsdb_link
zz_fh,HTT-reprocessed,ZZTo4Q,/ZZTo4Q_5f_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,/ZZTo4Q_5f_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,3.262,3.262,https://cms-gen-dev.cern.ch/xsdb/?searchQuery=DAS=ZZTo4Q_5f_TuneCP5_13TeV-amcatnloFXFX-pythia8
zz_lnu,HTT-reprocessed,ZZTo2L2Nu,/ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v1/MINIAODSIM,/ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,0.564,0.564,https://cms-gen-dev.cern.ch/xsdb/?searchQuery=DAS=ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8
zz_qnu,HTT-reprocessed,ZZTo2Q2Nu,/ZZTo2Q2Nu_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,/ZZTo2Q2Nu_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,4.07,4.07,https://cms-gen-dev.cern.ch/xsdb/?searchQuery=DAS=ZZTo2Q2Nu_TuneCP5_13TeV-amcatnloFXFX-pythia8
wz_lllnu,HTT-reprocessed,WZTo3LNu,/WZTo3LNu_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,/WZTo3LNu_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v2/NANOAODSIM,4.43,4.43,https://cms-gen-dev.cern.ch/xsdb/?searchQuery=DAS=WZTo3LNu_TuneCP5_13TeV-amcatnloFXFX-pythia8
wz_lnuqq,HTT-reprocessed,WZTo1L1Nu2Q,/WZTo1L1Nu2Q_4f_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,/WZTo1L1Nu2Q_4f_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,10.71,10.71,https://cms-gen-dev.cern.ch/xsdb/?searchQuery=DAS=WZTo1L1Nu2Q_4f_TuneCP5_13TeV-amcatnloFXFX-pythia8
wz_lnununu,HTT-reprocessed,WZTo1L3Nu,/WZTo1L3Nu_4f_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v3/MINIAODSIM,/WZTo1L3Nu_4f_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,3.414,3.414,https://cms-gen-dev.cern.ch/xsdb/?searchQuery=DAS=WZTo1L3Nu_4f_TuneCP5_13TeV-amcatnloFXFX-pythia8
wz_llqq,HTT-reprocessed,WZTo2Q2L,/WZTo2Q2L_mllmin4p0_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,/WZTo2Q2L_mllmin4p0_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,5.595,5.595,https://cms-gen-dev.cern.ch/xsdb/?searchQuery=DAS=WZTo2Q2L_mllmin4p0_TuneCP5_13TeV-amcatnloFXFX-pythia8
ww_llnunu,HTT-reprocessed,WWTo2L2Nu,/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v2/NANOAODSIM,12.178,12.178,https://cms-gen-dev.cern.ch/xsdb/?searchQuery=DAS=WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8
ww_lnuqq,HTT-reprocessed,WWTo1L1Nu2Q,/WWTo1L1Nu2Q_4f_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,/WWTo1L1Nu2Q_4f_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,49.997,49.997,https://cms-gen-dev.cern.ch/xsdb/?searchQuery=DAS=WWTo1L1Nu2Q_4f_TuneCP5_13TeV-amcatnloFXFX-pythia8
ww_qqqq,HTT-reprocessed,WWTo4Q,/WWTo4Q_4f_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v3/MINIAODSIM,/WWTo4Q_4f_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v2/NANOAODSIM,51.723,51.723,https://cms-gen-dev.cern.ch/xsdb/?searchQuery=DAS=WWTo4Q_4f_TuneCP5_13TeV-amcatnloFXFX-pythia8
zzz,HTT-reprocessed,ZZZ,/ZZZ_TuneCP5_13TeV-amcatnlo-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v1/MINIAODSIM,/ZZZ_TuneCP5_13TeV-amcatnlo-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,0.0147,0.0147,https://cms-gen-dev.cern.ch/xsdb/?searchQuery=DAS=ZZZ_TuneCP5_13TeV-amcatnlo-pythia8
wzz,HTT-reprocessed,WZZ,/WZZ_TuneCP5_13TeV-amcatnlo-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v3/MINIAODSIM,/WZZ_TuneCP5_13TeV-amcatnlo-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,0.057,0.057,https://cms-gen-dev.cern.ch/xsdb/?searchQuery=DAS=WZZ_TuneCP5_13TeV-amcatnlo-pythia8
www,HTT-reprocessed,WWW_4F,/WWW_4F_TuneCP5_13TeV-amcatnlo-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v1/MINIAODSIM,/WWW_4F_TuneCP5_13TeV-amcatnlo-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,0.209,0.209,https://cms-gen-dev.cern.ch/xsdb/?searchQuery=DAS=WWW_4F_TuneCP5_13TeV-amcatnlo-pythia8
wwz,HTT-reprocessed,WWZ_4F,/WWZ_4F_TuneCP5_13TeV-amcatnlo-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v1/MINIAODSIM,/WWZ_4F_TuneCP5_13TeV-amcatnlo-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,0.168,0.168,https://cms-gen-dev.cern.ch/xsdb/?searchQuery=DAS=WWZ_4F_TuneCP5_13TeV-amcatnlo-pythia8
